session_id,ike_version,ike_mode,encryption_algorithm,key_length_bits,hash_algorithm,dh_group,auth_method,operation_mode,pfs_enabled,sa_lifetime_seconds,risk_score,risk_label,flagged_issues
642059fd-8d27-4c08-a674-81e6dc7ea9c5,IKEv2,Main,AES-256-GCM,256,SHA256,31,PSK,Tunnel,True,28800,5,Low,None
a0510d6e-6734-4ab4-b84c-a972e7be4884,IKEv1,Quick,AES-128-CBC,128,SHA512,14,ECDSA-Sig,Transport,True,28800,16,Low,Legacy IKEv1 used
2ab464c4-1980-4725-ac1f-db4d3a19f83d,IKEv2,Main,ChaCha20-Poly1305,256,SHA1,31,PSK,Tunnel,False,28800,45,Moderate,Weak hash SHA1; Perfect Forward Secrecy (PFS) is disabled
5225440b-5db2-4cfa-9fb2-d072e2188228,IKEv2,Main,AES-256-CBC,256,MD5,1,ECDSA-Sig,Tunnel,True,28800,59,Moderate,Weak hash MD5; Weak DH group 1
2bca1b3b-cbd1-475e-ab16-14f74d0c2a12,IKEv1,Quick,ChaCha20-Poly1305,256,SHA256,14,ECDSA-Sig,Transport,False,3600,38,Strong,Legacy IKEv1 used; Perfect Forward Secrecy (PFS) is disabled
ff0d173e-61f5-4645-9611-d4219528105c,IKEv1,Quick,AES-256-GCM,256,MD5,21,RSA-Sig,Transport,True,28800,48,Moderate,Legacy IKEv1 used; Weak hash MD5
445f7583-20a9-427d-8ec0-62318c0f1e77,IKEv2,Main,DES,56,SHA1,19,RSA-Sig,Transport,False,86400,87,Critical,Weak encryption DES; Weak hash SHA1; Perfect Forward Secrecy (PFS) is disabled
13bc873e-50ca-424f-88c7-338870a342f1,IKEv2,Main,AES-256-CBC,256,SHA512,31,ECDSA-Sig,Tunnel,False,3600,16,Low,Perfect Forward Secrecy (PFS) is disabled
53dbd5f4-1102-46aa-b5a9-a34346fa9f10,IKEv1,Aggressive,ChaCha20-Poly1305,256,SHA1,14,RSA-Sig,Tunnel,True,28800,85,Critical,Legacy IKEv1 used; IKEv1 Aggressive mode vulnerable to offline dictionary attacks; Weak hash SHA1
05bf353c-5433-4a8a-ab1f-2f054606966a,IKEv2,Main,3DES,112,SHA1,20,RSA-Sig,Tunnel,False,86400,93,Critical,Weak encryption 3DES; Weak hash SHA1; Perfect Forward Secrecy (PFS) is disabled
92a8c901-404d-44c6-b677-d43c2e8d4718,IKEv1,Quick,AES-256-CBC,256,MD5,20,PSK,Transport,True,28800,46,Moderate,Legacy IKEv1 used; Weak hash MD5
a5625aed-e113-4ccd-8697-7552c1c820f0,IKEv2,Main,3DES,112,MD5,14,PSK,Tunnel,True,86400,74,Weak,Weak encryption 3DES; Weak hash MD5
