pcap_file,mode,ip_version,encryption,dh_group,pfs,traffic_type
tunnel_0_AES-256-GCM_14_Video_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-GCM,14,True,Video
tunnel_1_AES-128-CBC_19_Email_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-128-CBC,19,True,Email
tunnel_2_AES-256-CBC_19_Web_IPv6_Transport.pcap,Transport,IPv6,AES-256-CBC,19,True,Web
tunnel_3_3DES_14_Email_IPv6_Transport.pcap,Transport,IPv6,3DES,14,True,Email
tunnel_4_AES-256-CBC_19_Video_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,19,True,Video
tunnel_5_3DES_14_Web_IPv4_Tunnel.pcap,Tunnel,IPv4,3DES,14,True,Web
tunnel_6_3DES_20_Web_IPv6_Tunnel.pcap,Tunnel,IPv6,3DES,20,False,Web
tunnel_7_AES-256-CBC_14_Web_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,14,True,Web
tunnel_8_AES-256-CBC_20_Web_IPv6_Transport.pcap,Transport,IPv6,AES-256-CBC,20,False,Web
tunnel_9_AES-256-CBC_20_Video_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-CBC,20,True,Video
tunnel_10_AES-256-GCM_19_VoIP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-GCM,19,True,VoIP
tunnel_11_AES-256-CBC_14_Video_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,14,True,Video
tunnel_12_AES-128-CBC_14_VoIP_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-128-CBC,14,False,VoIP
tunnel_13_AES-128-CBC_19_Email_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-128-CBC,19,True,Email
tunnel_14_AES-128-CBC_19_ICMP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-128-CBC,19,True,ICMP
tunnel_15_3DES_19_WhatsApp_IPv6_Transport.pcap,Transport,IPv6,3DES,19,True,WhatsApp
tunnel_16_3DES_19_ICMP_IPv6_Tunnel.pcap,Tunnel,IPv6,3DES,19,True,ICMP
tunnel_17_3DES_20_VoIP_IPv6_Transport.pcap,Transport,IPv6,3DES,20,True,VoIP
tunnel_18_AES-256-CBC_14_Web_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,14,False,Web
tunnel_19_AES-256-CBC_20_VoIP_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-CBC,20,True,VoIP
tunnel_20_AES-256-GCM_20_Video_IPv4_Transport.pcap,Transport,IPv4,AES-256-GCM,20,True,Video
tunnel_21_3DES_19_WhatsApp_IPv6_Transport.pcap,Transport,IPv6,3DES,19,False,WhatsApp
tunnel_22_3DES_14_Video_IPv4_Tunnel.pcap,Tunnel,IPv4,3DES,14,True,Video
tunnel_23_AES-128-CBC_20_Web_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-128-CBC,20,False,Web
tunnel_24_AES-256-CBC_19_Web_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-CBC,19,True,Web
tunnel_25_AES-128-CBC_20_Email_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-128-CBC,20,True,Email
tunnel_26_3DES_20_WhatsApp_IPv6_Transport.pcap,Transport,IPv6,3DES,20,False,WhatsApp
tunnel_27_3DES_20_Video_IPv4_Tunnel.pcap,Tunnel,IPv4,3DES,20,True,Video
tunnel_28_AES-128-CBC_20_ICMP_IPv4_Transport.pcap,Transport,IPv4,AES-128-CBC,20,True,ICMP
tunnel_29_AES-128-CBC_14_WhatsApp_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-128-CBC,14,True,WhatsApp
tunnel_30_AES-128-CBC_14_VoIP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-128-CBC,14,True,VoIP
tunnel_31_3DES_20_Email_IPv6_Tunnel.pcap,Tunnel,IPv6,3DES,20,True,Email
tunnel_32_AES-256-GCM_19_WhatsApp_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-GCM,19,False,WhatsApp
tunnel_33_AES-256-GCM_14_Web_IPv6_Transport.pcap,Transport,IPv6,AES-256-GCM,14,True,Web
tunnel_34_AES-128-CBC_19_Web_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-128-CBC,19,True,Web
tunnel_35_AES-256-CBC_19_ICMP_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-CBC,19,True,ICMP
tunnel_36_3DES_20_VoIP_IPv6_Tunnel.pcap,Tunnel,IPv6,3DES,20,True,VoIP
tunnel_37_AES-128-CBC_14_Web_IPv4_Transport.pcap,Transport,IPv4,AES-128-CBC,14,True,Web
tunnel_38_AES-256-GCM_20_Email_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-GCM,20,True,Email
tunnel_39_AES-256-CBC_14_Web_IPv6_Tunnel.pcap,Tunnel,IPv6,AES-256-CBC,14,True,Web
tunnel_40_AES-128-CBC_14_WhatsApp_IPv6_Transport.pcap,Transport,IPv6,AES-128-CBC,14,True,WhatsApp
tunnel_41_AES-256-GCM_19_WhatsApp_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-GCM,19,True,WhatsApp
tunnel_42_AES-256-CBC_19_Web_IPv4_Transport.pcap,Transport,IPv4,AES-256-CBC,19,True,Web
tunnel_43_3DES_14_ICMP_IPv6_Tunnel.pcap,Tunnel,IPv6,3DES,14,True,ICMP
tunnel_44_AES-128-CBC_20_Email_IPv4_Transport.pcap,Transport,IPv4,AES-128-CBC,20,True,Email
tunnel_45_3DES_20_WhatsApp_IPv6_Tunnel.pcap,Tunnel,IPv6,3DES,20,False,WhatsApp
tunnel_46_AES-256-GCM_19_Video_IPv4_Transport.pcap,Transport,IPv4,AES-256-GCM,19,False,Video
tunnel_47_AES-256-CBC_14_ICMP_IPv4_Tunnel.pcap,Tunnel,IPv4,AES-256-CBC,14,True,ICMP
